text,fallacy_type,taxonomy_group,clean_text
Encampment is like basic training. It’s CAP’s equivalent to Boot Camp.,fallacy of logic,Clarity Fallacy,encampment like basic training cap equivalent boot camp
We cannot listen to John’s opinion on global warming because he is a tree hugger.,ad hominem,Relevance Fallacy,listen john opinion global warming tree hugger
Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,intentional,Clarity Fallacy,kerrys plan raise tax least billion first hundred day
Repeating the same thing as if you’re proving something,circular reasoning,Presumption Fallacy,repeating thing youre proving something
"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool.""",ad populum,Relevance Fallacy,im gon na get iphone everybody else iphone theyre cool
"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses.",fallacy of relevance,Relevance Fallacy,russia terrible human right record well united state done plenty bad thing arent bad country russia isnt either president confronted russia human right abuse
"""The Philippines is in poverty because of poor people.""",circular reasoning,Presumption Fallacy,philippine poverty poor people
"Thomas: ""Dating apps are an effective way to meet potential dates. With people's busy work schedules nowadays, technology can help you make connections.""
Nina: ""Dating apps are dangerous! Most people are catfished, and guys usually pretend to be so much better than they really are online. If we're so busy, we won't have time for any of that, anyway.""
What fallacy is Nina leaning toward?",fallacy of extension,Clarity Fallacy,thomas dating apps effective way meet potential date people busy work schedule nowadays technology help make connection nina dating apps dangerous people catfished guy usually pretend much better really online busy wont time anyway fallacy nina leaning toward
"""My opponent claims that water pollution is endangering our city waters. But have you thought about all of the air pollution in China? Where they have to wear masks sometimes in the city? That's what we really need to worry about.""",fallacy of relevance,Relevance Fallacy,opponent claim water pollution endangering city water thought air pollution china wear mask sometimes city thats really need worry
"""You're a Westener and you're an idiot.""",ad hominem,Relevance Fallacy,youre westener youre idiot
Researchers are frauds who don’t earn their salaries,ad hominem,Relevance Fallacy,researcher fraud dont earn salary
The child did not do his chores so therefore all children are lazy.,faulty generalization,Presumption Fallacy,child chore therefore child lazy
"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates",ad hominem,Relevance Fallacy,come political party sure communicate biased untrue claim partymates
I would never buy a Buick. My father owned two of them and both of them had frequent transmission problems. Buicks obviously break down all the time.,faulty generalization,Presumption Fallacy,would never buy buick father owned two frequent transmission problem buicks obviously break time
"“We must accept the traditions of the men of old time who affirm themselves to be the offspring of the gods - that is what they say - and they must surely have known their own ancestors. How can we doubt the word of the children of the gods?” - Plato, Timaeus",circular reasoning,Presumption Fallacy,must accept tradition men old time affirm offspring god say must surely known ancestor doubt word child god plato timaeus
Has your psychology department stopped teaching that ineffective approach to therapy yet?,circular reasoning,Presumption Fallacy,psychology department stopped teaching ineffective approach therapy yet
"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
",fallacy of credibility,Relevance Fallacy,bill hey hear new operating system better anything else released steve whats called bill window vista steve sound wonderful cant wait user install computer
It takes faith to believe in God just like it takes faith to believe in the Easter Bunny -- but at least the Easter Bunny is based on a creature that actually exists!,appeal to emotion,Relevance Fallacy,take faith believe god like take faith believe easter bunny least easter bunny based creature actually exists
